A_AN,A
MOTORCYCLE,MOTORBIKE
MOTOR-BIKE,MOTORBIKE
FREEWAY,MOTORWAY
HIGHWAY,MOTORWAY
EXPRESSWAY,MOTORWAY
MUSTACHE,MOUSTACHE
LAWN MOWER,MOWER
MOM,MUM
MOMMY*,MUMMY
MUM/MUMMY/MAMMA,MUMMY
MUM/MUMMY/MAM/MA,MUMMY
MUMMY/MUM,MUMMY
DIAPER,NAPPY
NEED/NEED TO,NEED
NEIGHBOR,NEIGHBOUR
NEIGHBORHOOD,NEIGHBOURHOOD
NEIGHBORS,NEIGHBOURS
CHICKENNUGGETS,NUGGETS
LICENSE PLATE,NUMBER PLATE
CRECHE,NURSERY
PLAYSCHOOL,NURSERY
ESOPHAGUS,OESOPHAGUS
ONTOPOF,ON TOP OF
ORGANIZATION,ORGANISATION
ORGANIZE,ORGANISE
ORGANIZE,ORGANISE
OWIE/BOO BOO,OUCH
COOKER / STOVE / OVEN,OVEN
STOVE,OVEN
COOKER/STOVE/OVEN,OVEN
OVEN/COOKER,OVEN
COOKER,OVEN
PATTYCAKE,PATACAKE
FOOTHPATH,PAVEMENT
SIDEWALK,PAVEMENT
CROSSWALK,PEDESTRIAN CROSSING
PEEKABOO/PEEPO,PEEKABOO
PENIS*,PENIS
WILLY,PENIS
PENNY_CENT,PENNY
PEOPLE/FOLK,PEOPLE
PETNAME,PET NAME
PET'S NAME,PET NAME
GASOLINE,PETROL
GAS STATION,PETROL STATION
MOBILEPHONE,PHONE
PHONECALL(CALL),PHONE
TELEPHONE/PHONE,PHONE
PHONE/TELEPHONE/MOBILE,PHONE
CALL (ON PHONE),PHONE (VERB)
(CALL ON) PHONE,PHONE (VERB)
PICNICIE,PICNIC
POLICEMAN,POLICE
POLICEMAN_GUARD,POLICE
POLICE/POLICEMAN,POLICE
PATROL CAR,POLICE CAR
(SWIMMING)POOL,POOL
SODA/POP,POP
MAILBOX,POSTBOX
MAILMAN,POSTMAN
POTATO/SPUD/TATTIE,POTATO
PUSHCHAIR / BUGGY,PUSHCHAIR
PUSHCHAIR/BUGGY,PUSHCHAIR
PUSHCHAIR/BUGGY/STROLLER,PUSHCHAIR
PIJAMAS,PYJAMAS
PYJAMAS/PJS/JIM JAMS,PYJAMAS
PAJAMAS,PYJAMAS
QUACK QUACK,QUACK
QUACKQUACK,QUACK
BUNNY,RABBIT
BUNNY / RABBIT,RABBIT
BUNNY/RABBIT,RABBIT
RACECAR,RACING CAR
RAILROAD,RAILWAY
GARBAGE,RUBBISH
RUMOR,RUMOUR
SANDWICH/BUTTY,SANDWICH
(MY)SELF,SELF
SHAMPOOIE,SHAMPOO
SHH / HUSH / SHUSH,SHH
SHH/SHUSH/HUSH,SHH
SHH/HUSH/SHUSH,SHH
SHH/HUSH,SHH
HUSH/SHH,SHH
STORE,SHOP
SHOULDER(S),SHOULDER
SIT(DOWN),SIT
SLED,SLEDGE
NAP,SLEEP
NAP/SLEEP,SLEEP
SLIDE (OBJECT),SLIDE
SMOLDER,SMOULDER
SO BIG!,SO BIG
SOBIG,SO BIG
COUCH_SOFA,SOFA
SETTEE / SOFA,SOFA
SETTEE/SOFA,SOFA
SETTEE/SOFA/COUCH,SOFA
SOFA/SETTEE,SOFA
SHOVEL/SPADE,SPADE
PASTA / SPAGHETTI,SPAGHETTI
PASTA/SPAGHETTI,SPAGHETTI
WRENCH,SPANNER
ROCK/STONE,STONE
CANDY,SWEETS
SWIMMINGTOGS,SWIMSUIT
SWING (OBJECT),SWING
SWINGS,SWING
TAKE_BUILD,TAKE
TAPE_TÉIP_DVD,TAPE
CAB,TAXI
TEA/BREW,TEA
TEA/BREW (DRINK),TEA (DRINK)
TEAR_RIP,TEAR (ACTION)
TEDDY/TEDDY BEAR,TEDDY
TEDDY BEAR,TEDDY
THANKYOU_THANKS,THANK YOU
THANK YOU/TA,THANK YOU
THEATER,THEATRE
THERE(IN THAT PLACE),THERE
THEY_A,THEY
THIS LITTLE PIGGY,THIS LITTLE PIGGY
THISLITTLEPIGGY,THIS LITTLE PIGGY
TISSUE/KLEENEX,TISSUE
TOILET/LAV/LOO,TOILET
TOOTH/TEETH,TOOTH
TOY (OBJECT),TOY
SNEAKER,TRAINER
SNEAKERS,TRAINERS
STREETCAR,TRAM
TROUSERS/PANTS/BRITCHES,TROUSERS
PANTS,TROUSERS
TRY(TO),TRY
TRY/TRY TO,TRY
TUMMY_STOMACH,TUMMY
BELLY/TUMMY,TUMMY
TURN AROUND,TURNAROUND
TV / TELEVISION,TV
TV/TELEVISION,TV
TELEVISION/TELLY/TV,TV
TV/TELEVISION/TELLY,TV
TELEVISION,TV
TWEET-TWEET,TWEET TWEET
TIRE,TYRE
UH OH,UH OH
UHOH,UH OH
PANTS/UNDERPANTS,UNDERPANTS
VAGINA*,VAGINA
WANNA/WANT TO,WANT TO
WANNA_WANTTO,WANT TO
CLOSET,WARDROBE
WASHING MACHINE/WASHER,WASHING MACHINE
WASHING MACHINE,WASHING MACHINE
WASHINGMACHINE,WASHING MACHINE
WATCH (OBJECT),WATCH
WATER (BEVERAGE),WATER
WATER (NOT BEVERAGE),WATER (OUTSIDE)
WE_US,WE
WINDSHIELD,WINDSCREEN
BOWWOW,WOOF
WOOF WOOF,WOOF
WORK (PLACE),WORK
YES/YEAH/AYE,YES
YOGHURT_IÓGAIRT,YOGHURT
YOGURT,YOGHURT
YUM YUM,YUM
YUMYUM,YUM
ZIP_SIP_IE,ZIP
ZIPPER,ZIP
